card;upright;reversed;symbolism
55-sixofswords.jpg;Transition, change, rite of passage, releasing baggage, moving on, journey, healing.;Personal transition, resistance to change, unfinished business, carrying baggage, emotional turmoil.;"A woman and a child are being ferried across a body of water in a small boat. Six swords are standing upright in the boat. The water in front of the boat is turbulent, but the water in the distance is calm, suggesting that they are moving from a place of trouble to a place of peace. This card represents a journey or a transition, a move away from a difficult situation towards a better future. It is a card of healing and moving on."
56-sevenofswords.jpg;Betrayal, deception, getting away with something, stealth, strategy, resourcefulness.;Imposter syndrome, self-deceit, keeping secrets, guilt, confession, moving on.;"A man is seen sneaking away from a military camp, carrying five swords. He has left two swords behind. He has a look of cunning and satisfaction on his face. This card represents theft, deception, and betrayal. It can also represent a situation where one is trying to get away with something, or is acting in a sneaky or underhanded way. It can also suggest the need for a more strategic or diplomatic approach to a problem."
57-eightofswords.jpg;Negative thoughts, self-imposed restriction, imprisonment, victim mentality, helplessness.;Self-limiting beliefs, inner critic, releasing negative thoughts, open to new perspectives.;"A woman is bound and blindfolded, standing in a circle of eight swords. She appears to be trapped, but the bindings are loose, and the swords are not a solid wall. In the background is a castle on a hill. This card represents a feeling of being trapped and powerless, but it suggests that this is a self-imposed prison. The woman has the ability to free herself, but her own fear and negative thoughts are holding her back. The castle represents a place of safety and security that she could reach if she could overcome her self-imposed limitations."
58-nineofswords.jpg;Anxiety, worry, fear, depression, nightmares, despair, anguish, guilt.;Inner turmoil, deep-seated fears, secrets, releasing worry, seeking help, recovery.;"A person sits up in bed, holding their head in their hands. They appear to be in a state of great distress. Nine swords hang on the wall behind them. This card is a depiction of anxiety, worry, and fear. It represents the mental anguish that can keep us awake at night. The swords represent the negative thoughts that are tormenting the person. The carvings on the bed depict a scene of conflict, adding to the sense of turmoil."
59-tenofswords.jpg;Painful endings, deep wounds, betrayal, loss, crisis, rock bottom, ruin.;Recovery, regeneration, resisting an inevitable end, forgiveness, healing, moving on.;"A man lies face down on the ground with ten swords in his back. The sky above is dark, but there is a glimmer of light on the horizon. This card represents a painful and definitive ending. It is a card of betrayal, loss, and hitting rock bottom. However, the rising sun in the distance suggests that this is the darkest before the dawn, and that a new day will come. It is a card of complete and utter defeat, but also the potential for a new beginning."
60-pageofswords.jpg;New ideas, curiosity, thirst for knowledge, new ways of communicating, energy.;Self-expression, solitude, speaking out, scattered thoughts, lack of clarity, cynicism.;"A young page stands on a grassy hill under a turbulent sky, holding a sword upright. He has a look of intense curiosity and energy. The wind is blowing through his hair and the trees in the background. This card represents a person who is full of new ideas and a thirst for knowledge. They are quick-witted, curious, and a good communicator. The turbulent sky suggests that their ideas may be disruptive or challenging, but they are not afraid to speak their mind."
61-knightofswords.jpg;Ambitious, action-oriented, fast-thinking, direct, impulsive, assertive, driven.;Restless, unfocused, impulsive, burn-out, aggressive, tyrannical, unfocused.;"A knight on a powerful horse charges forward with his sword drawn. The horse is at a full gallop, and the wind is blowing fiercely. The knight's expression is one of intense focus and determination. This card represents a person who is direct, assertive, and driven. They are quick to act and are not afraid of a challenge. However, they can also be impulsive and reckless, charging ahead without thinking things through."
62-queenofswords.jpg;Independent, unbiased judgement, clear boundaries, direct communication, intellectual.;Overly-emotional, easily influenced, bitchy, cold-hearted, cruel, deceitful.;"A queen sits on a throne that is decorated with a cherub and butterflies. She holds a sword upright in one hand and gestures with the other. She looks off into the distance with a serious and perceptive expression. A single bird flies in the sky above her. This card represents a person who is intelligent, independent, and a clear thinker. She is a truth-seeker and is not afraid to speak her mind. She is a woman of integrity who values honesty and fairness. The bird represents her ability to see things from a higher perspective."
63-kingofswords.jpg;Mental clarity, intellectual power, authority, truth, logic, reason, justice.;Quiet power, inner-truth, misuse of power, manipulative, tyrannical, abusive.;"A king sits on a throne, holding a double-edged sword upright. His expression is serious and thoughtful. The back of his throne is decorated with butterflies and a crescent moon. Two birds fly in the sky behind him. This card represents a person who is an intellectual authority. He is a master of logic and reason, and he is able to make fair and impartial judgments. He is a man of integrity who values truth and justice above all else. The butterflies and moon suggest a connection to the spiritual and intuitive, which he balances with his intellect."
64-aceofpentacles.jpg;New financial or career opportunities, manifestation, abundance, prosperity.;Lost opportunity, lack of planning and foresight, financial insecurity, greed.;"A hand emerges from a cloud, holding a large golden pentacle. Below the hand is a beautiful garden with a path leading to an archway and mountains in the distance. The garden represents the abundance and prosperity that is being offered. The path represents the journey towards manifesting one's goals. This card signifies a new opportunity for wealth, career advancement, or the manifestation of material goals. It is a card of prosperity and abundance."
65-twoofpentacles.jpg;Multiple priorities, time management, prioritization, adaptability, balance, flexibility.;Over-committed, disorganisation, re-prioritizing, financial disarray, overwhelmed.;"A young man is juggling two pentacles, which are connected by an infinity symbol. He is dancing and seems to be effortlessly managing the two coins. In the background, two ships are riding the waves of a turbulent sea. This card represents the need to balance multiple priorities, often related to finances or work. It is a card of adaptability and flexibility, of being able to go with the flow even when things are challenging. The infinity symbol suggests that the person has the energy and resources to manage everything."
66-threeofpentacles.jpg;Teamwork, collaboration, learning, implementation, skill, craftsmanship.;Disharmony in a group, misalignment, working alone, lack of teamwork, poor quality.;"A young apprentice is standing on a bench, working on the intricate carvings of a cathedral archway. Two other figures, a monk and a nobleman, are looking at his work and discussing it. This card represents teamwork, collaboration, and the application of skills. It is a card of learning and apprenticeship, of honing one's craft. It signifies a situation where people with different skills and perspectives are coming together to create something of value."
67-fourofpentacles.jpg;Saving money, security, conservatism, scarcity, control, possession, stability.;Over-spending, greed, self-protection, materialism, possessiveness, fear of loss.;"A man sits on a stool, clutching a large pentacle to his chest. He has another pentacle under his feet, and two more are balanced on his crown. He is in a city, but he seems isolated and closed off from the world. This card represents a desire for security and control, especially in financial matters. It can indicate a tendency towards hoarding, possessiveness, and a fear of loss. It can also represent a stable and secure financial situation, but one that may be lacking in joy and generosity."
68-fiveofpentacles.jpg;Financial loss, poverty, minority, isolation, worry, insecurity, hardship.;Recovery from financial loss, spiritual poverty, forgiveness, positive change, hope.;"Two poor and destitute figures, one on crutches and the other with a bare head in the cold, walk through the snow outside a brightly lit church window. They seem to be in a state of despair and are not aware of the sanctuary that is so close by. This card represents financial hardship, poverty, and a sense of being left out in the cold. It can also represent a state of spiritual poverty, of feeling disconnected from a source of comfort and support."
69-sixofpentacles.jpg;Giving, receiving, sharing wealth, generosity, charity, gratitude, compassion.;Strings attached, one-sided charity, greed, self-care, unpaid debt, selfishness.;"A wealthy merchant is shown giving coins to two beggars who are kneeling at his feet. He is holding a set of scales, symbolizing fairness and balance. This card represents generosity, charity, and the sharing of wealth. It can also represent the act of receiving help from others. The scales suggest that there is a sense of fairness and balance in the exchange, and that both the giver and the receiver benefit from the act."
70-sevenofpentacles.jpg;Long-term view, sustainable results, perseverance, investment, patience, diligence.;Lack of long-term vision, limited success or reward, impatience, procrastination.;"A man leans on his hoe, looking at the seven pentacles that are growing on a bush. He has a look of contemplation and is assessing the results of his hard work. This card represents a moment of pause and reflection after a period of hard work. It is a time to evaluate one's progress and to decide on the next steps. It is a card of patience and perseverance, of waiting for one's investments to mature."
71-eightofpentacles.jpg;Apprenticeship, repetitive tasks, mastery, skill development, diligence, passion.;Self-development, perfectionism, misdirected activity, lack of passion, boredom.;"An apprentice is shown diligently working on carving a pentacle. He has already completed seven others, which are displayed on a post. He is completely absorbed in his work, and his focus and dedication are evident. This card represents hard work, diligence, and the pursuit of mastery. It is a card of apprenticeship and skill development, of taking pride in one's work and striving for excellence."
72-nineofpentacles.jpg;Abundance, luxury, self-sufficiency, financial independence, refinement, maturity.;Self-worth, over-investment in work, hustling, financial dependency, lack of independence.;"A well-dressed woman stands in a beautiful garden, with a falcon perched on her gloved hand. She is surrounded by grapevines laden with fruit and nine golden pentacles. This card represents a person who has achieved financial independence and is enjoying the fruits of their labor. She is self-sufficient, confident, and refined. The falcon represents her intellect and her ability to control her own destiny. The snail near her feet symbolizes patience and slow, steady progress."
73-tenofpentacles.jpg;Wealth, financial security, family, long-term success, contribution, inheritance.;The dark side of wealth, financial failure or loss, lack of stability, fleeting success.;"An old man sits with his two white dogs, watching a young couple and their child. Ten pentacles are arranged in the pattern of the Tree of Life in the foreground. The scene takes place in a prosperous city. This card represents the culmination of a long and successful life. It is a card of wealth, both material and spiritual, and of the legacy that one leaves behind for future generations. It represents family, tradition, and the security that comes from a life well-lived."
74-pageofpentacles.jpg;New job, financial opportunity, manifestation, new skills, groundedness, diligence.;Lack of progress, procrastination, learn from failure, lack of commitment, daydreaming.;"A young page stands in a lush, green field, holding a pentacle in his hands. He is looking at it with a sense of curiosity and wonder. In the background are freshly plowed fields and a grove of trees. This card represents a new opportunity for learning and growth, especially in the areas of work, finance, or practical skills. It is a card of a student or an apprentice who is eager to learn and to apply their knowledge in the real world."
75-knightofpentacles.jpg;Hard work, productivity, routine, conservatism, diligence, practicality, patience.;Self-discipline, boredom, feeling 'stuck', laziness, lack of initiative, obsession.;"A knight sits on a black, sturdy horse, holding a pentacle in his hands. He is looking at it with a thoughtful and serious expression. The horse is standing still, and the knight seems to be in no hurry. This card represents a person who is hardworking, reliable, and patient. He is a practical and down-to-earth person who is focused on his long-term goals. He is not afraid of hard work and is willing to do what it takes to get the job done."
76-queenofpentacles.jpg;Nurturing, practical, providing financially, a working parent, prosperity, security.;Financial independence, self-care, work-home conflict, jealousy, smothering, insecurity.;"A queen sits on a throne that is decorated with carvings of fruit and animals. She holds a large pentacle in her lap and is looking at it with a loving and nurturing expression. She is surrounded by a beautiful garden. A rabbit, a symbol of fertility and abundance, is at her feet. This card represents a person who is nurturing, practical, and prosperous. She is a down-to-earth person who is good at managing both her finances and her home. She is a provider and a caregiver."
77-kingofpentacles.jpg;Wealth, business, leadership, security, discipline, abundance, success, control.;Financially inept, obsessed with wealth and status, stubbornness, materialistic, gambler.;"A king sits on a throne that is decorated with bull heads, a symbol of his connection to the earth and the sign of Taurus. He holds a scepter in one hand and a pentacle in the other. He is wearing a robe that is covered in grapevines. His castle is in the background. This card represents a person who has achieved a high level of material success and is a master of the material world. He is a confident and successful leader who is good at business and finance. He is a provider and a protector who enjoys the fruits of his labor."
